Label1,Label2,Idx1,Idx2,PI
01mNeoNeb1,02mPumCon1.1_hap1,0,1,86.0
01mNeoNeb1,02mPumCon1.1_hap1,0,1,86.0
01mNeoNeb1,02mPumCon1.1_hap1,0,1,86.0
01mNeoNeb1,02mPumCon1.1_hap1,0,1,86.0
01mNeoNeb1,02mPumCon1.1_hap1,0,1,86.0
01mNeoNeb1,02mPumCon1.1_hap1,0,1,86.0
01mNeoNeb1,02mPumCon1.1_hap1,0,1,87.7
01mNeoNeb1,02mPumCon1.1_hap1,0,1,87.7
01mNeoNeb1,02mPumCon1.1_hap1,0,1,91.8
01mNeoNeb1,02mPumCon1.1_hap1,0,1,95.4
01mNeoNeb1,02mPumCon1.1_hap1,0,1,96.3
01mNeoNeb1,02mPumCon1.1_hap1,0,1,97.0
01mNeoNeb1,02mPumCon1.1_hap1,0,1,89.7
01mNeoNeb1,02mPumCon1.1_hap1,0,1,90.0
01mNeoNeb1,02mPumCon1.1_hap1,0,1,90.0
01mNeoNeb1,02mPumCon1.1_hap1,0,1,89.7
01mNeoNeb1,02mPumCon1.1_hap1,0,1,89.5
01mNeoNeb1,02mPumCon1.1_hap1,0,1,88.9
01mNeoNeb1,02mPumCon1.1_hap1,0,1,88.8
01mNeoNeb1,02mPumCon1.1_hap1,0,1,88.8
01mNeoNeb1,02mPumCon1.1_hap1,0,1,88.9
01mNeoNeb1,02mPumCon1.1_hap1,0,1,88.9
01mNeoNeb1,02mPumCon1.1_hap1,0,1,89.2
01mNeoNeb1,02mPumCon1.1_hap1,0,1,91.3
01mNeoNeb1,02mPumCon1.1_hap1,0,1,92.4
01mNeoNeb1,02mPumCon1.1_hap1,0,1,93.5
01mNeoNeb1,02mPumCon1.1_hap1,0,1,93.8
01mNeoNeb1,02mPumCon1.1_hap1,0,1,92.9
01mNeoNeb1,02mPumCon1.1_hap1,0,1,91.9
01mNeoNeb1,02mPumCon1.1_hap1,0,1,93.6
01mNeoNeb1,02mPumCon1.1_hap1,0,1,93.3
01mNeoNeb1,02mPumCon1.1_hap1,0,1,91.5
01mNeoNeb1,02mPumCon1.1_hap1,0,1,91.3
01mNeoNeb1,02mPumCon1.1_hap1,0,1,92.5
01mNeoNeb1,02mPumCon1.1_hap1,0,1,92.8
01mNeoNeb1,02mPumCon1.1_hap1,0,1,91.6
