#name1	strand1	start1	end1	length1	name2	strand2	start2+	end2+	length2	id%
NW_025814831.1_1_IGH	+	8839	11179	2341	AP023157.1_1_IGH	+	1214530	1216867	2338	95.4%
NW_025814831.1_1_IGH	+	8839	11179	2341	AP023157.1_1_IGH	+	1654858	1657243	2386	95.1%
NW_025814831.1_1_IGH	+	8839	11179	2341	AP023157.1_1_IGH	+	1855430	1857770	2341	95.4%
NW_025814831.1_1_IGH	+	8843	11179	2337	AP023157.1_1_IGH	+	1315271	1317600	2330	95.0%
NW_025814831.1_1_IGH	+	9973	11303	1331	AP023157.1_1_IGH	+	1898835	1900161	1327	72.0%
NW_025814831.1_1_IGH	+	9973	11303	1331	AP023157.1_1_IGH	+	2037844	2039157	1314	73.2%
NW_025814831.1_1_IGH	+	9973	11310	1338	AP023157.1_1_IGH	+	1833453	1834786	1334	73.0%
NW_025814831.1_1_IGH	+	9973	11303	1331	AP023157.1_1_IGH	+	1249748	1251075	1328	71.8%
NW_025814831.1_1_IGH	+	9973	11310	1338	AP023157.1_1_IGH	+	1939373	1940687	1315	73.3%
NW_025814831.1_1_IGH	+	9973	11304	1332	AP023157.1_1_IGH	+	1868910	1870233	1324	72.3%
NW_025814831.1_1_IGH	+	9973	11310	1338	AP023157.1_1_IGH	+	1674281	1675610	1330	72.5%
NW_025814831.1_1_IGH	+	9973	11098	1126	AP023157.1_1_IGH	+	1369131	1370248	1118	72.5%
NW_025814831.1_1_IGH	+	9973	11299	1327	AP023157.1_1_IGH	+	1704019	1705342	1324	73.5%
NW_025814831.1_1_IGH	+	9973	11303	1331	AP023157.1_1_IGH	+	1590231	1591556	1326	73.0%
NW_025814831.1_1_IGH	+	9973	11303	1331	AP023157.1_1_IGH	+	1355986	1357292	1307	73.4%
NW_025814831.1_1_IGH	+	9973	11310	1338	AP023157.1_1_IGH	+	1453123	1454450	1328	73.3%
NW_025814831.1_1_IGH	+	9973	11310	1338	AP023157.1_1_IGH	+	1800913	1802249	1337	73.6%
NW_025814831.1_1_IGH	+	9973	11304	1332	AP023157.1_1_IGH	+	1228066	1229604	1539	72.8%
NW_025814831.1_1_IGH	+	9973	11304	1332	AP023157.1_1_IGH	+	1561612	1562939	1328	72.9%
NW_025814831.1_1_IGH	+	9973	11310	1338	AP023157.1_1_IGH	+	1398262	1399580	1319	72.0%
NW_025814831.1_1_IGH	+	9973	11310	1338	AP023157.1_1_IGH	+	1192387	1193708	1322	74.5%
NW_025814831.1_1_IGH	+	9973	11310	1338	AP023157.1_1_IGH	+	1601482	1602815	1334	73.2%
NW_025814831.1_1_IGH	+	9973	11072	1100	AP023157.1_1_IGH	+	2023199	2024284	1086	73.5%
NW_025814831.1_1_IGH	+	9973	11310	1338	AP023157.1_1_IGH	+	1141249	1142582	1334	73.4%
NW_025814831.1_1_IGH	+	9973	11304	1332	AP023157.1_1_IGH	+	1424073	1425400	1328	72.9%
NW_025814831.1_1_IGH	+	9973	11310	1338	AP023157.1_1_IGH	+	1950573	1951905	1333	73.0%
NW_025814831.1_1_IGH	+	9973	11310	1338	AP023157.1_1_IGH	+	1409487	1410821	1335	73.3%
NW_025814831.1_1_IGH	+	9973	10454	482	AP023157.1_1_IGH	+	1328215	1328697	483	68.3%
NW_025814831.1_1_IGH	+	9973	11310	1338	AP023157.1_1_IGH	+	1126510	1127841	1332	73.6%
NW_025814831.1_1_IGH	+	9973	11310	1338	AP023157.1_1_IGH	+	1972022	1973353	1332	72.8%
NW_025814831.1_1_IGH	+	9973	11310	1338	AP023157.1_1_IGH	+	1543571	1544903	1333	73.1%
NW_025814831.1_1_IGH	+	9973	11303	1331	AP023157.1_1_IGH	+	2011723	2013053	1331	73.5%
NW_025814831.1_1_IGH	+	9973	11310	1338	AP023157.1_1_IGH	+	1768163	1769490	1328	71.9%
NW_025814831.1_1_IGH	+	9973	11310	1338	AP023157.1_1_IGH	+	1910066	1911397	1332	73.3%
NW_025814831.1_1_IGH	+	9973	11303	1331	AP023157.1_1_IGH	+	1503478	1504801	1324	72.5%
NW_025814831.1_1_IGH	+	9973	11310	1338	AP023157.1_1_IGH	+	1261395	1262725	1331	72.9%
NW_025814831.1_1_IGH	+	9973	11310	1338	AP023157.1_1_IGH	+	1715477	1716703	1227	73.6%
NW_025814831.1_1_IGH	+	9973	11310	1338	AP023157.1_1_IGH	+	1514720	1516054	1335	72.6%
NW_025814831.1_1_IGH	+	9973	11310	1338	AP023157.1_1_IGH	+	1293302	1294627	1326	73.7%
NW_025814831.1_1_IGH	+	9973	11313	1341	AP023157.1_1_IGH	+	1117283	1118616	1334	73.5%
NW_025814831.1_1_IGH	+	10013	11310	1298	AP023157.1_1_IGH	+	1986768	1988050	1283	73.7%
NW_025814831.1_1_IGH	+	16284	18409	2126	AP023157.1_1_IGH	+	1267073	1269236	2164	65.2%
NW_025814831.1_1_IGH	+	16284	27718	11435	AP023157.1_1_IGH	+	1474332	1485493	11162	92.3%
NW_025814831.1_1_IGH	+	16284	25453	9170	AP023157.1_1_IGH	+	1319990	1328697	8708	93.5%
NW_025814831.1_1_IGH	+	16284	29612	13329	AP023157.1_1_IGH	+	1860611	1873595	12985	91.3%
NW_025814831.1_1_IGH	+	16284	19721	3438	AP023157.1_1_IGH	+	1660084	1663302	3219	94.2%
NW_025814831.1_1_IGH	+	16284	27700	11417	AP023157.1_1_IGH	+	1219600	1231017	11418	92.4%
NW_025814831.1_1_IGH	+	17118	18409	1292	AP023157.1_1_IGH	+	1415437	1417125	1689	75.2%
NW_025814831.1_1_IGH	+	17129	18409	1281	AP023157.1_1_IGH	+	1533936	1535624	1689	73.3%
NW_025814831.1_1_IGH	+	17129	18409	1281	AP023157.1_1_IGH	+	1147196	1148882	1687	73.7%
NW_025814831.1_1_IGH	+	17129	18409	1281	AP023157.1_1_IGH	+	1521069	1522754	1686	74.9%
NW_025814831.1_1_IGH	+	17129	18409	1281	AP023157.1_1_IGH	+	1721439	1723151	1713	76.2%
NW_025814831.1_1_IGH	+	17129	18409	1281	AP023157.1_1_IGH	+	1990682	1992373	1692	74.8%
NW_025814831.1_1_IGH	+	17129	18409	1281	AP023157.1_1_IGH	+	1680081	1681784	1704	72.6%
NW_025814831.1_1_IGH	+	17129	18409	1281	AP023157.1_1_IGH	+	1874862	1876565	1704	76.0%
NW_025814831.1_1_IGH	+	18012	18409	398	AP023157.1_1_IGH	+	2024469	2024844	376	77.4%
NW_025814831.1_1_IGH	+	18012	18409	398	AP023157.1_1_IGH	+	1958076	1958459	384	76.2%
NW_025814831.1_1_IGH	+	18012	18409	398	AP023157.1_1_IGH	+	1608944	1609325	382	77.2%
NW_025814831.1_1_IGH	+	18012	18409	398	AP023157.1_1_IGH	+	1167656	1168036	381	76.1%
NW_025814831.1_1_IGH	+	18012	18409	398	AP023157.1_1_IGH	+	1431290	1431671	382	76.8%
NW_025814831.1_1_IGH	+	18012	18409	398	AP023157.1_1_IGH	+	1334540	1334926	387	76.7%
NW_025814831.1_1_IGH	+	18019	18409	391	AP023157.1_1_IGH	+	1808458	1808838	381	78.4%
NW_025814831.1_1_IGH	+	18019	18409	391	AP023157.1_1_IGH	+	1979239	1979609	371	75.4%
NW_025814831.1_1_IGH	+	18599	27723	9125	AP023157.1_1_IGH	+	1762027	1770921	8895	92.0%
NW_025814831.1_1_IGH	+	19642	29612	9971	AP023157.1_1_IGH	+	1669193	1678808	9616	90.6%
NW_025814831.1_1_IGH	+	22321	23269	949	AP023157.1_1_IGH	+	1745500	1746486	987	70.8%
NW_025814831.1_1_IGH	+	22321	25253	2933	AP023157.1_1_IGH	+	1633692	1636568	2877	78.3%
NW_025814831.1_1_IGH	+	22321	26320	4000	AP023157.1_1_IGH	+	1189787	1193726	3940	80.9%
NW_025814831.1_1_IGH	+	22321	28244	5924	AP023157.1_1_IGH	+	1787635	1793461	5827	82.0%
